participant_id,Cond,Ins,pc
0,AA,Acc,0.6875
1,AA,Acc,0.5
2,AA,Acc,0.625
3,AA,Acc,0.5625
4,AA,Acc,0.4375
5,AA,Acc,0.625
6,AA,Acc,0.866666666666667
7,AA,Acc,0.5625
8,AA,Acc,0.5625
9,AA,Acc,0.8125
10,AA,Acc,0.5625
11,AA,Acc,0.75
12,AA,Acc,0.8125
13,AA,Acc,0.8125
14,AA,Acc,0.533333333333333
15,AA,Acc,0.8125
16,AA,Acc,0.75
17,AA,Acc,0.6875
18,AA,Acc,0.625
19,AA,Acc,0.625
20,AA,Acc,0.625
21,AA,Acc,0.6875
22,AA,Acc,0.846153846153846
23,AA,Acc,0.6875
24,AA,Acc,0.8125
25,AA,Acc,0.9375
26,AA,Acc,0.5625
27,AA,Acc,0.5
28,AA,Acc,0.625
29,AA,Acc,0.6875
30,AA,Acc,0.875
31,AA,Acc,0.5625
32,AA,Acc,0.625
33,AA,Acc,0.75
34,AA,Acc,0.75
35,AA,Acc,0.6875
36,AA,Acc,0.8125
37,AA,Acc,0.4375
38,AA,Acc,0.625
39,AA,Acc,0.8125
40,AA,Acc,0.666666666666667
41,AA,Acc,0.5
42,AA,Acc,0.875
43,AA,Acc,0.9375
44,AA,Acc,0.6875
45,AA,Acc,0.875
46,AA,Acc,0.5
47,AA,Acc,0.5625
48,AA,Acc,0.866666666666667
49,AA,Acc,0.875
50,AA,Acc,0.75
51,AA,Acc,0.8125
52,AA,Acc,0.625
53,AA,Acc,0.3125
54,AA,Acc,0.625
55,AA,Acc,0.5
56,AA,Acc,0.875
57,AA,Acc,0.875
58,AA,Acc,0.625
59,AA,Acc,0.875
60,AA,Acc,0.733333333333333
61,AA,Acc,0.9375
62,AA,Acc,0.9375
63,AA,Acc,0.875
64,AA,Acc,0.5
65,AA,Acc,0.875
66,AA,Acc,0.6875
67,AA,Acc,0.625
68,AA,Acc,1.0
69,AA,Acc,0.75
70,AA,Acc,0.5
71,AA,Acc,0.4375
72,AA,Acc,0.625
73,AA,Acc,0.9375
74,AA,Acc,0.9375
75,AA,Acc,0.9375
76,AA,Acc,0.75
77,AA,Acc,0.6875
78,AA,Acc,0.75
79,AA,Acc,0.6875
80,AA,Acc,0.8125
81,AA,Acc,0.3125
82,AA,Acc,0.75
83,AA,Acc,0.6875
84,AA,Acc,0.8125
85,AA,Acc,0.4375
86,AA,Acc,0.625
87,AA,Acc,0.625
88,AA,Acc,0.9375
89,AA,Acc,0.6875
90,AA,Acc,0.625
91,AA,Acc,0.5
92,AA,Acc,0.875
93,AA,Acc,0.5625
94,AA,Acc,0.5625
95,AA,Acc,0.5
96,AA,Acc,0.75
97,AA,Acc,0.625
98,AA,Acc,0.5625
99,AA,Acc,0.6875
100,AA,Acc,0.666666666666667
101,AA,Acc,0.625
102,AA,Acc,0.625
103,AA,Acc,0.5
104,AA,Acc,0.625
105,AA,Acc,0.6875
106,AA,Acc,0.8125
107,AA,Acc,0.875
108,AA,Acc,0.4375
109,AA,Acc,0.625
110,AA,Acc,0.8125
111,AA,Acc,0.5
112,AA,Acc,0.75
113,AA,Acc,0.8125
114,AA,Acc,0.5
115,AA,Acc,0.5
116,AA,Acc,0.75
117,AA,Acc,0.5
118,AA,Acc,0.4375
119,AA,Acc,0.6875
0,AB,Acc,0.625
1,AB,Acc,0.5625
2,AB,Acc,0.5625
3,AB,Acc,0.625
4,AB,Acc,0.5625
5,AB,Acc,0.5625
6,AB,Acc,1.0
7,AB,Acc,0.5625
8,AB,Acc,0.625
9,AB,Acc,0.5
10,AB,Acc,0.6875
11,AB,Acc,0.5625
12,AB,Acc,0.625
13,AB,Acc,0.75
14,AB,Acc,0.6875
15,AB,Acc,0.875
16,AB,Acc,0.5625
17,AB,Acc,0.625
18,AB,Acc,0.8125
19,AB,Acc,0.8125
20,AB,Acc,0.6875
21,AB,Acc,0.6875
22,AB,Acc,0.928571428571429
23,AB,Acc,0.625
24,AB,Acc,0.625
25,AB,Acc,0.75
26,AB,Acc,0.625
27,AB,Acc,0.5625
28,AB,Acc,0.9375
29,AB,Acc,0.75
30,AB,Acc,0.857142857142857
31,AB,Acc,0.4375
32,AB,Acc,1.0
33,AB,Acc,0.875
34,AB,Acc,0.6875
35,AB,Acc,0.5625
36,AB,Acc,0.9375
37,AB,Acc,0.75
38,AB,Acc,0.875
39,AB,Acc,0.9375
40,AB,Acc,0.733333333333333
41,AB,Acc,0.625
42,AB,Acc,0.875
43,AB,Acc,0.8125
44,AB,Acc,0.9375
45,AB,Acc,0.9375
46,AB,Acc,0.5625
47,AB,Acc,0.5
48,AB,Acc,0.625
49,AB,Acc,1.0
50,AB,Acc,0.6
51,AB,Acc,0.9375
52,AB,Acc,0.875
53,AB,Acc,0.5
54,AB,Acc,0.375
55,AB,Acc,0.625
56,AB,Acc,0.9375
57,AB,Acc,0.875
58,AB,Acc,0.6875
59,AB,Acc,0.625
60,AB,Acc,0.8
61,AB,Acc,0.8125
62,AB,Acc,0.9375
63,AB,Acc,1.0
64,AB,Acc,0.375
65,AB,Acc,0.75
66,AB,Acc,0.6875
67,AB,Acc,0.6875
68,AB,Acc,0.933333333333333
69,AB,Acc,0.8125
70,AB,Acc,0.666666666666667
71,AB,Acc,0.6875
72,AB,Acc,0.5
73,AB,Acc,0.9375
74,AB,Acc,0.6875
75,AB,Acc,0.75
76,AB,Acc,0.8125
77,AB,Acc,0.4375
78,AB,Acc,0.5625
79,AB,Acc,0.6875
80,AB,Acc,0.5625
81,AB,Acc,0.6875
82,AB,Acc,0.625
83,AB,Acc,0.5625
84,AB,Acc,0.75
85,AB,Acc,0.6875
86,AB,Acc,0.4375
87,AB,Acc,0.9375
88,AB,Acc,1.0
89,AB,Acc,0.75
90,AB,Acc,0.625
91,AB,Acc,0.75
92,AB,Acc,0.9375
93,AB,Acc,0.5625
94,AB,Acc,0.8125
95,AB,Acc,0.625
96,AB,Acc,0.8125
97,AB,Acc,0.5625
98,AB,Acc,0.625
99,AB,Acc,0.5
100,AB,Acc,0.466666666666667
101,AB,Acc,0.625
102,AB,Acc,0.625
103,AB,Acc,0.625
104,AB,Acc,0.6875
105,AB,Acc,0.75
106,AB,Acc,0.6875
107,AB,Acc,0.9375
108,AB,Acc,0.8125
109,AB,Acc,0.5625
110,AB,Acc,0.8125
111,AB,Acc,0.5625
112,AB,Acc,0.875
113,AB,Acc,0.625
114,AB,Acc,0.6875
115,AB,Acc,0.5625
116,AB,Acc,0.75
117,AB,Acc,0.625
118,AB,Acc,0.6875
119,AB,Acc,0.5625
0,AA,Spd,0.75
1,AA,Spd,0.5625
2,AA,Spd,0.545454545454545
3,AA,Spd,0.875
4,AA,Spd,0.9375
5,AA,Spd,0.75
6,AA,Spd,0.875
7,AA,Spd,0.4375
8,AA,Spd,0.5625
9,AA,Spd,0.8125
10,AA,Spd,0.875
11,AA,Spd,0.5625
12,AA,Spd,0.75
13,AA,Spd,0.6875
14,AA,Spd,0.8125
15,AA,Spd,0.5
16,AA,Spd,0.6875
17,AA,Spd,0.75
18,AA,Spd,0.6875
19,AA,Spd,0.6875
20,AA,Spd,0.75
21,AA,Spd,0.75
22,AA,Spd,0.875
23,AA,Spd,0.75
24,AA,Spd,0.5625
25,AA,Spd,0.875
26,AA,Spd,0.8125
27,AA,Spd,0.625
28,AA,Spd,0.5625
29,AA,Spd,0.75
30,AA,Spd,0.875
31,AA,Spd,0.75
32,AA,Spd,0.875
33,AA,Spd,0.625
34,AA,Spd,0.8125
35,AA,Spd,0.6875
36,AA,Spd,0.875
37,AA,Spd,0.625
38,AA,Spd,0.4
39,AA,Spd,0.9375
40,AA,Spd,0.625
41,AA,Spd,0.8125
42,AA,Spd,0.5625
43,AA,Spd,0.6875
44,AA,Spd,0.9375
45,AA,Spd,0.75
46,AA,Spd,0.4375
47,AA,Spd,0.8125
48,AA,Spd,0.8125
49,AA,Spd,0.8125
50,AA,Spd,0.5625
51,AA,Spd,0.666666666666667
52,AA,Spd,0.75
53,AA,Spd,0.4375
54,AA,Spd,0.6875
55,AA,Spd,0.5625
56,AA,Spd,0.8125
57,AA,Spd,0.75
58,AA,Spd,0.6875
59,AA,Spd,0.5
60,AA,Spd,0.8125
61,AA,Spd,0.8125
62,AA,Spd,0.875
63,AA,Spd,0.75
64,AA,Spd,0.6875
65,AA,Spd,0.9375
66,AA,Spd,0.5625
67,AA,Spd,0.625
68,AA,Spd,0.875
69,AA,Spd,0.3125
70,AA,Spd,0.533333333333333
71,AA,Spd,0.5
72,AA,Spd,0.5625
73,AA,Spd,1.0
74,AA,Spd,0.6875
75,AA,Spd,0.5
76,AA,Spd,0.5
77,AA,Spd,0.625
78,AA,Spd,0.8125
79,AA,Spd,0.6875
80,AA,Spd,0.8125
81,AA,Spd,0.4375
82,AA,Spd,0.375
83,AA,Spd,0.625
84,AA,Spd,0.5625
85,AA,Spd,0.4375
86,AA,Spd,0.625
87,AA,Spd,0.75
88,AA,Spd,0.9375
89,AA,Spd,0.625
90,AA,Spd,0.6875
91,AA,Spd,0.75
92,AA,Spd,1.0
93,AA,Spd,0.75
94,AA,Spd,0.8125
95,AA,Spd,0.8125
96,AA,Spd,0.6875
97,AA,Spd,0.5
98,AA,Spd,0.75
99,AA,Spd,0.5625
100,AA,Spd,0.75
101,AA,Spd,0.8125
102,AA,Spd,0.4375
103,AA,Spd,0.5
104,AA,Spd,0.6875
105,AA,Spd,0.75
106,AA,Spd,0.625
107,AA,Spd,0.75
108,AA,Spd,0.4375
109,AA,Spd,0.625
110,AA,Spd,1.0
111,AA,Spd,0.6875
112,AA,Spd,0.875
113,AA,Spd,0.8125
114,AA,Spd,0.5625
115,AA,Spd,0.6875
116,AA,Spd,0.4375
117,AA,Spd,0.5
118,AA,Spd,0.625
119,AA,Spd,0.625
0,AB,Spd,0.5625
1,AB,Spd,0.5625
2,AB,Spd,0.142857142857143
3,AB,Spd,0.75
4,AB,Spd,0.625
5,AB,Spd,0.6875
6,AB,Spd,0.875
7,AB,Spd,0.625
8,AB,Spd,0.75
9,AB,Spd,0.75
10,AB,Spd,0.625
11,AB,Spd,0.8125
12,AB,Spd,0.75
13,AB,Spd,0.8125
14,AB,Spd,0.625
15,AB,Spd,0.5625
16,AB,Spd,0.6875
17,AB,Spd,0.625
18,AB,Spd,0.5625
19,AB,Spd,0.5625
20,AB,Spd,0.625
21,AB,Spd,0.625
22,AB,Spd,0.8125
23,AB,Spd,0.5
24,AB,Spd,0.5625
25,AB,Spd,0.625
26,AB,Spd,0.75
27,AB,Spd,0.6875
28,AB,Spd,0.4375
29,AB,Spd,0.75
30,AB,Spd,0.9375
31,AB,Spd,0.5625
32,AB,Spd,0.625
33,AB,Spd,0.8125
34,AB,Spd,0.625
35,AB,Spd,0.5625
36,AB,Spd,0.9375
37,AB,Spd,0.625
38,AB,Spd,0.571428571428571
39,AB,Spd,0.75
40,AB,Spd,0.6875
41,AB,Spd,0.625
42,AB,Spd,0.6875
43,AB,Spd,0.75
44,AB,Spd,0.75
45,AB,Spd,0.625
46,AB,Spd,0.625
47,AB,Spd,0.5
48,AB,Spd,0.9375
49,AB,Spd,0.8125
50,AB,Spd,0.5
51,AB,Spd,0.875
52,AB,Spd,0.875
53,AB,Spd,0.5
54,AB,Spd,0.5625
55,AB,Spd,0.625
56,AB,Spd,0.875
57,AB,Spd,0.9375
58,AB,Spd,0.625
59,AB,Spd,0.8125
60,AB,Spd,0.875
61,AB,Spd,0.75
62,AB,Spd,0.8125
63,AB,Spd,0.875
64,AB,Spd,0.6875
65,AB,Spd,1.0
66,AB,Spd,0.8125
67,AB,Spd,0.5625
68,AB,Spd,0.625
69,AB,Spd,0.625
70,AB,Spd,0.866666666666667
71,AB,Spd,0.75
72,AB,Spd,0.4375
73,AB,Spd,0.9375
74,AB,Spd,0.5
75,AB,Spd,0.75
76,AB,Spd,0.5625
77,AB,Spd,0.5625
78,AB,Spd,0.875
79,AB,Spd,0.625
80,AB,Spd,0.875
81,AB,Spd,0.625
82,AB,Spd,0.5625
83,AB,Spd,0.25
84,AB,Spd,0.5
85,AB,Spd,0.625
86,AB,Spd,0.5625
87,AB,Spd,0.8125
88,AB,Spd,0.8125
89,AB,Spd,0.6875
90,AB,Spd,0.6875
91,AB,Spd,0.75
92,AB,Spd,0.875
93,AB,Spd,0.625
94,AB,Spd,0.75
95,AB,Spd,0.3125
96,AB,Spd,0.875
97,AB,Spd,0.5625
98,AB,Spd,0.6875
99,AB,Spd,0.5625
100,AB,Spd,0.5625
101,AB,Spd,0.6875
102,AB,Spd,0.5
103,AB,Spd,0.6875
104,AB,Spd,0.5625
105,AB,Spd,0.6875
106,AB,Spd,0.5
107,AB,Spd,0.75
108,AB,Spd,0.4375
109,AB,Spd,0.714285714285714
110,AB,Spd,0.8125
111,AB,Spd,0.625
112,AB,Spd,0.9375
113,AB,Spd,0.75
114,AB,Spd,0.4375
115,AB,Spd,0.375
116,AB,Spd,0.533333333333333
117,AB,Spd,0.5625
118,AB,Spd,0.625
119,AB,Spd,0.5625
